"","ISI","DMC","DC","temp","RH","wind","wkd","wkdM","summer","areaTrans","FFMCQuantile","wetness","rainvnorain"
"354",9.6,99,745.3,19.8,47,2.7,1,1,1,1.00063188030791,7,678.774,0
"37",6.7,35.4,669.1,21.7,24,4.5,0,0,0,0,3,390.456,0
"395",2.2,4.6,46.7,5.3,68,1.8,0,1,0,0,1,398.888,0
"14",7,126.5,686.5,21.3,42,2.2,0,1,1,0,5,667.002,0
"46",15.9,85.1,692.3,25.9,24,4,0,0,1,0,10,507.012,0
"207",20.3,139.4,594.2,22.9,31,7.2,1,1,1,2.80032547721138,10,544.05,0
"343",7.5,130.1,807.1,20.6,37,1.8,0,1,1,0,6,562.474,0
"47",7,126.5,686.5,14.7,70,3.6,0,1,1,0,5,736.988,0
"492",13.8,152,624.1,32.4,21,4.5,0,0,1,0,10,666.47,0
"276",2,26.4,352,5.1,61,4.9,0,0,0,1.8531680973567,1,352.702,0
"215",7.8,35.8,80.8,17,27,4.9,1,1,0,3.38979933670979,7,327.24,0
"390",12,227,706.7,23.3,34,3.1,1,1,1,0,10,611.66,0
"206",9.2,137,706.4,22.1,34,1.8,0,0,1,2.74534598584591,9,566.78,0
"225",6.2,82.9,735.7,15.4,57,4.5,0,0,1,3.65609796458956,3,626.088,0
"340",6.2,108.4,764,20.4,41,1.8,0,1,1,0.904218150639886,6,615.328,0
"443",3.7,24.9,41.6,10.9,64,3.1,0,1,0,1.47017584510059,2,534.7072,0
"383",18,217.7,690,28.2,29,1.8,0,0,1,1.92570744173779,10,709.185333333333,0
"321",7.5,119,783.5,18.9,34,7.2,0,0,1,3.56558123776944,9,464.083,0
"12",22.6,73.2,713,19.3,38,4,1,1,1,0,9,531.886,0
"177",2.7,9.1,55.2,5.8,54,5.8,0,0,0,1.72455071953461,1,328.104,0
"1",5.1,26.2,94.3,8.2,51,6.7,1,1,0,0,2,361.284,0
"190",5.5,44,92.4,11.5,60,4,1,1,0,2.22354188565359,3,521.88,0
"504",20,139.4,689.1,29.2,30,4.9,0,0,1,1.08180517035173,10,779.14,0
"306",5.7,84.1,714.3,19,52,2.2,1,1,1,0,2,713.96,0
"85",6.3,114.3,661.3,20.2,45,3.6,0,0,1,0,7,666.63,0
"424",8.4,94.3,744.4,22.3,48,4,1,1,1,0.542324290825362,5,810.72,0
"317",8.6,96.2,739.4,18.6,24,5.8,0,0,1,0,8,321.792,0
"408",2.9,8.2,55,14.2,46,4,1,1,0,0,1,471.1504,0
"472",5.7,25.4,73.7,18,40,4,1,1,0,3.67579421456528,2,517,0
"333",8.5,124.4,795.3,17.1,41,2.2,1,1,1,2.50307395374345,5,500.2205,0
"412",3.3,3.2,43.6,8.2,53,9.4,1,1,0,1.7263316639056,1,375.452,0
"362",10.2,122,789.7,17.3,45,4,1,1,1,1.59736533119983,8,556.2675,0
"178",6.3,99.6,631.2,19.2,44,2.7,1,1,1,1.73871024813824,3,611.952,0
"116",3.8,25.7,67.6,15.5,27,6.3,0,0,0,0,2,298.485,0
"289",9,104.2,474.9,24.2,32,1.8,1,1,1,0,6,608.288,0
"132",4.1,23.9,64.7,14,39,3.1,0,1,0,0,2,394.992,0
"411",2.7,7.3,52.8,14.7,42,2.7,1,1,0,0,1,442.1928,0
"379",8,18.9,30.6,8.7,51,5.8,0,0,0,0,5,371.994,0
"263",8.9,112.4,573,21.4,42,3.1,1,1,1,1.65822807660353,6,671.076,0
"8",10.7,145.4,608.2,8,86,2.2,0,1,1,0,6,602,0
"436",5.6,84.7,376.6,23.8,51,1.8,1,1,1,0,5,945.54,0
